ID,MARCA,MODELO,TIPO_AC,TECNOLOGIA,CAPACIDADE,REFRIGERANTE,LINK_MANUAL,LINK_VALIDADO,HTTP_CODE,TIPO_MANUAL,TAMANHO_PDF_MB,IDIOMA,DATA_MANUAL,OBSERVACOES,FONTE,STATUS,DATA_VERIFICACAO
ELG_EI_001,Elgin,Eco Inverter II,Split High Wall,Compressor Inverter,9-30k,R32,https://www.poloar.com.br/ar-condicionado-split-hi-wall-elgin-eco-inverter-ii-30000-btu-h-frio-220v-r-32-wi-fi/p,,,Operação,,Português-BR,2024-06,Modelo 30k com WiFi - Auto-limpante,Polo Ar,Ativo,
CON_BE_001,Consul,Bem-Estar Inverter,Split High Wall,Inverter,9-22k,R410A,https://cdn2.centralar.com.br/centralar/mds/manuais/consul/split/2153/ar-condicionado-split-hw-onoff-consul-12000-btus-quentefrio-220v-r-32-wi-fi.pdf,,,Misto,,Português-BR,2023-11,Manual instalação/operação/serviço,Centralar,Ativo,
BRA_AT_001,Brastemp,Ative! Split Hi Wall,Split High Wall,Inverter,9-22k,R410A,https://pdf.webarcondicionado.com.br/brastemp/manual/usuario/mdu-split-hi-wall-bbf07-bbf09-bbf12-bbf18-bbf22.pdf,,,Misto,,Português-BR,2023-10,Modelos 7k a 22k com controle WiFi,WebArCondicionado,Ativo,
TOS_RAS_001,Toshiba,RAS Series Split,Split High Wall,Inverter,9-24k,R410A,https://pt.scribd.com/document/369267003/Manual-Toshiba-Split,,,Serviço Técnico,,Português-BR,2021-11,Manual completo de serviço técnico,Scribd,Ativo,
GRE_GP_001,Gree,G-Prime Inverter,Split High Wall,Inverter Compacto,9-24k,R410A,https://www.leverosintegra.com.br/download/manuais/Gree/manual-de-operacao-instalacao-manutencao-gprime-inverter-compact.pdf,,,Misto,,Português-BR,2023-04,Manual operação/instalação/manutenção,Leveros Integra,Ativo,
GRE_GT_001,Gree,G-Top Connection,Split High Wall,Inverter WiFi,9-24k,R410A,http://www.leverosintegra.com.br/download/manuais/Gree/manual-hw-inverter-gree-g-top.pdf,,,Operação,,Português-BR,2023-02,Modelo com conectividade WiFi,Leveros Integra,Ativo,
KOM_KAC_001,Komeco,KAC Series,Split High Wall,Inverter,9-24k,R410A,https://www.komeco.com.br/arquivos/manuais/ar-condicionado/split-hi-wall/manual-ar-condicionado-split-kac-chsa.pdf,,,Misto,,Português-BR,2023-08,Manual usuário com instruções de serviço,Komeco Brasil,Ativo,
AGR_IC_001,Agratto,ICS Hi Wall Neo,Split High Wall,Inverter R-32,9-30k,R32,https://www.leverosintegra.com.br/download/manuais/Agratto/manual-de-instalacao-ics-hw-inverter-neo-18k-agratto.pdf,,,Misto,,Português-BR,2024-02,Manual instalação/manutenção completo,Leveros Integra,Ativo,
TCL_SH_001,TCL,Split Inverter Series,Split High Wall,Inverter,9-24k,R410A,https://pt.scribd.com/document/544236471/1-5075815702149988659,,,Serviço Técnico,,Português-BR,2024-03,Manual de Serviço Hi-Wall completo,Scribd,Ativo,
POS_TI_001,Positivo,Split Inverter Techno,Split High Wall,Inverter,9-22k,R410A,https://blog.eletrolar.com.br/manuais/Manual%20105421.pdf,,,Instalação,,Português-BR,2023-05,Manual instalação split Positivo,Eletrolar Blog,Ativo,
HIT_AH_001,Hitachi,AirHome 600 Series,Split High Wall,DC Inverter,9-24k,R410A,https://www.leverosintegra.com.br/download/manuais/hitachi/Manual-de-instalacao-operacao-HW-AirHome%20600.pdf,,,Misto,,Português-BR,2022-08,Modelos SPK/RPK/RAA com diagrama,Leveros Integra,Ativo,
PHI_PS_001,Philco,Split Inverter PAC,Split High Wall,Inverter,9-22k,R410A,https://pt.scribd.com/document/487821390/Manual-Ar-condicionado-Do-Tipo-Split-e-Inverter-Philco-PAC12000IFM9,,,Misto,,Português-BR,2023-12,Manual split Philco completo,Scribd,Ativo,
HIS_HS_001,Hisense,Hi Hisense Split,Split High Wall,Inverter,9-24k,R410A,https://media.adeo.com/media/3456266/media.pdf,,,Operação,,Português-BR,2023-06,Instruções de uso e instalação,ADEO,Ativo,
CAR_XP_001,Carrier,X-Power Split,Split High Wall,Inverter,18-36k,R410A,https://www.leverosintegra.com.br/download/manuais/Carrier/Manual-de-Instala%C3%A7%C3%A3o-Opera%C3%A7%C3%A3o-XPOWER%2042ZQVB.pdf,,,Misto,,Português-BR,2022-10,Sistema split profissional X-Power,Leveros Integra,Ativo,
TRA_MS_001,Trane,MS Series Hi Wall,Split High Wall,Inverter,18-36k,R410A,https://residencial.trane.com.br/arquivos/multi-split-inverter/manual-iom/iom-pb-multi-split-hi-wall-inverter-4mxw23-ms-svx067a,,,Misto,,Português-BR,2023-03,Sistema multi-split profissional,Trane Brasil,Ativo,
DAI_VRV_001,Daikin,VRV IV,VRF/VRV,Full Inverter R-32,4-50 HP,R32,https://www.daikin.com.br/profissionais/downloads,,,Serviço Técnico,,Português-BR,2024-06,VRV IV - Sistema de referência mundial,Site Daikin Profissional,Ativo,
DAI_VRV_002,Daikin,VRV X,VRF/VRV,Inverter Ultra Eficiente,4-50 HP,R32,https://www.daikin.com.br/profissionais/downloads,,,Serviço Técnico,,Português-BR,2024-11,VRV X - Geração mais recente com IA,Site Daikin Profissional,Ativo,
LG_MV_001,LG,Multi V S,VRF/VRV,Inverter Comercial,8-50 HP,R410A,https://www.lg.com/br/business/download/airsolution/Manual%20de%20Instala%C3%A7%C3%A3o%20Multi%20V%20S%5B20230807_224307150%5D.pdf,,,Misto,,Português-BR,2023-08,Sistema comercial VRF com suporte oficial,LG Business,Ativo,
LG_MV_002,LG,Multi V (Antigo),VRF/VRV,Inverter,8-50 HP,R410A,https://www.lg.com/br/business/ar-condicionado/produtos/vrf-multi-v/,,,Operação,,Português-BR,2022-01,Versão anterior - ainda em operação no mercado,LG Business,Descontinuado,
FUJ_MS_001,Fujitsu,Professional Multi-Split,VRF/VRV,Inverter R-32,9-48 HP,R32,https://www.fujitsu-general.com/br/support/downloads/index.html,,,Serviço Técnico,,Português-BR,2024-05,Suporte downloads oficial Fujitsu VRF,Fujitsu Support,Ativo,
CAR_XPV_001,Carrier,X-Power VRF,VRF/VRV,Inverter New Generation,8-50 HP,R410A,https://carrierdobrasil.com.br/wp-content/uploads/2021/09/Manual-de-Projeto-VRF-Carrier-XPower-New-Generation-UCs-380V-CO-2022-0,,,Serviço Técnico,,Português-BR,2022-09,Manual de Projeto - Unidades Centrais 380V,Carrier Brasil,Ativo,
CAR_MV8_001,Carrier,VRF Midea V8,VRF/VRV,Inverter Modular,8-50 HP,R410A,https://carrierdobrasil.com.br/wp-content/uploads/2024/06/MInstalacao_UCs-VRF-Midea-V8-220V-B-05-24-view.pdf,,,Instalação,,Português-BR,2024-06,Instalação UCs VRF Midea V8 220V,Carrier Brasil,Ativo,
TOS_SIG_001,Toshiba,VRF Sigma Splitão RAS-FSNCB,VRF/VRV,DC Inverter Profissional,8-28 HP,R410A,https://pt.scribd.com/document/720993337/Manual-Tecnico-Ar-Condicionado,,,Serviço Técnico,,Português-BR,2023-09,Manual Sigma Splitão completo com diagramas,Scribd,Ativo,
TOS_VRF_001,Toshiba,VRF LC/DX Interface,VRF/VRV,Inverter com Interface DX,Variável,R32/R410A,https://www.toshiba-hvacspares.com/SiteAssets/Files/DXKitManuals/PT_IM_LC_VRF_DX_Interface_0_10V_R08.pdf,,,Serviço Técnico,,Português-BR,2023-11,Interface 0-10V para sistema VRF,Toshiba HVAC,Ativo,
HIT_SIG_001,Hitachi,SIGMA SPLITÃO VRF,VRF/VRV,DC Inverter Profissional,8-28 HP,R410A,https://pt.scribd.com/document/540150882/MANUAL-DE-INSTALACAO-E-OPERACAO-SISTEMA-VRF-DC-INVERTER,,,Serviço Técnico,,Português-BR,2023-10,Unidades RAS-FSN e Evaporadoras RTC/RVT,Scribd,Ativo,
MIT_CM_001,Mitsubishi,City Multi VRF,VRF/VRV,Inverter Scroll,10-45 HP,R410A,https://www.gbcbrasil.org.br/wp-content/uploads/2019/08/Catalogo-VRF-City-Multi.pdf,,,Operação,,Português-BR,2019-08,City Multi - Confiabilidade Japonesa comprovada,GBC Brasil,Ativo,
SAM_DVM_001,Samsung,DVM VRF,VRF/VRV,Inverter DVM,8-50 HP,R410A,https://www.samsung.com/br/business/system-air-conditioners/vrf-dvm/,,,Operação,,Português-BR,2024-11,VRF Samsung DVM - Resfriamento 20% mais rápido,Samsung Business,Ativo,
GRE_GMV_001,Gree,GMV Inverter VRF,VRF/VRV,Inverter Global,8-50 HP,R410A,https://blogclimatiza.com.br/melhor-vrf-2025-guia-completo-sistema-vrf/,,,Operação,,Português-BR,2025-09,Opção global com bom custo-benefício,Blog Climatiza,Ativo,
